5000001,99001,99004,99005,-1,1010211,1010031,1010211,-1,-1,-1,1010021,-1,1010021,-1,1010231,-1,-1,1010201,-1,1010231,1010031,1010231
5000002,99001,99012,99013,-1,1010021,-1,1010021,1010221,-1,1010221,-1,1010021,-1,1010051,1010061,1010051,1010031,-1,1010021,1010041,1010071,1010061
5000003,99001,99002,99011,-1,1010211,-1,1010211,1010221,1010111,-1,1010081,1010081,-1,1010231,-1,1010231,1010091,1010091,-1,1010241,1010251,1010241
5000004,99001,99002,99011,-1,1010101,1010081,1010101,-1,1010241,-1,1010091,-1,1010091,1010111,1010081,1010111,1010081,1010101,1010091,1010121,1010131,1010111
5000005,99001,99026,99027,-1,-1,1010321,-1,1010311,-1,1010301,1010301,1010301,1010311,1010311,-1,-1,1010291,-1,1010291,1010301,1010331,1010321
5000006,99001,99026,99027,-1,-1,1010291,-1,1010311,1010321,1010311,1010311,-1,1010311,1010321,1010331,1010321,1010301,1010291,1010301,1010331,1010341,1010331
5000007,99001,99010,99011,-1,1010201,-1,1010201,-1,1010231,-1,1010211,-1,1010211,1010241,1010211,1010241,1010201,-1,1010201,1010231,1010221,1010231
5000008,99001,99010,99011,-1,1010211,1010211,-1,1010221,-1,1010241,1010201,1010201,1010201,1010231,-1,1010231,1010221,1010201,1010221,1010241,1010251,1010241
5000009,99001,99040,99041,-1,1010151,-1,1010031,-1,-1,1010061,1010141,1010141,-1,1010041,-1,1010041,1010031,-1,1010031,-1,1010051,1010181
5000010,99001,99040,99041,-1,1010021,-1,1010021,1010171,-1,1010171,1010031,1010161,1010031,1010161,-1,-1,1010061,1010021,1010061,1010051,1010071,1010041
5000011,99001,99010,99021,-1,-1,-1,-1,1010002,1010082,1010002,-1,1010102,1010102,1010002,-1,1010002,1010092,-1,1010092,1010002,1010002,1010002
5000012,99001,99010,99021,-1,1010002,-1,1010002,-1,1010122,1010122,1010002,1010092,1010002,1010082,-1,1010082,1010002,1010002,1010002,1010112,1010132,1010112
5000013,99001,99016,99017,-1,-1,-1,1010042,1010052,1010042,1010052,1010022,1010022,-1,1010062,1010032,1010032,1010032,1010022,1010032,1010062,1010072,1010042
5000014,99001,99016,99017,-1,1010002,1010002,1010002,-1,-1,-1,1010002,-1,1010002,1010002,1010002,-1,1010002,1010002,1010002,1010002,1010501,1010002
5000015,99001,99016,99017,-1,1010302,-1,1010302,1010002,-1,-1,-1,1010002,1010302,1010002,1010302,-1,1010002,-1,1010002,1010312,1010292,1010312
5000016,99001,99018,99019,-1,-1,1010202,-1,1010222,1010242,1010222,1010202,1010212,1010202,1010232,1010222,1010232,1010002,1010502,1010002,1010252,1010503,1010252
5000017,99001,99018,99019,-1,1010092,-1,-1,-1,1010112,1010112,1010082,1010092,1010092,-1,1010122,1010102,1010082,1010082,1010092,1010122,1010132,1010112
5000018,99001,99018,99019,-1,1010142,1010142,-1,-1,1010182,1010142,1010142,1010152,1010142,1010182,-1,1010182,-1,1010192,-1,1010002,1010492,1010002
5000019,99001,99016,99019,-1,1010232,-1,1010202,1010252,1010002,1010242,-1,1010092,1010092,1010102,1010102,1010132,1010152,1010142,1010152,1010002,1010192,1010002
5000020,99001,99016,99017,-1,1010002,-1,1010002,1010252,1010252,-1,1010002,-1,1010002,1010072,1010002,1010132,1010002,1010002,1010002,1010502,1010492,1010503
5000021,99001,99020,99021,-1,1010233,-1,1010233,-1,1010223,-1,1010233,1010233,-1,-1,1010203,1010203,1010243,1010203,1010243,1010203,1010223,-1
5000022,99001,99020,99021,-1,1010253,1010253,1010253,-1,-1,1010243,1010253,1010223,-1,1010223,-1,1010233,1010203,-1,1010203,1010253,1010223,1010253
5000023,99001,99020,99021,-1,1010253,1010253,-1,-1,1010003,-1,1010003,1010213,-1,1010213,-1,1010003,1010203,1010213,1010203,1010003,1010253,1010003
5000024,99001,99020,99021,-1,-1,-1,1010153,1010153,1010173,-1,-1,1010193,-1,1010163,1010183,1010163,-1,-1,-1,1010193,1010504,1010193
5000025,99001,99008,99009,-1,1010203,-1,1010203,1010273,-1,1010273,1010273,1010253,1010273,1010233,-1,1010233,1010273,1010223,1010273,1010253,1010283,1010253
5000026,99001,99012,99011,-1,1010113,-1,-1,-1,-1,1010113,1010093,-1,1010093,1010123,1010113,-1,1010083,1010083,1010083,1010113,1010133,1010123
5000027,99001,99026,99027,-1,-1,1010253,-1,-1,1010243,1010243,1010223,1010233,-1,-1,1010223,1010233,1010203,1010213,1010203,-1,1010505,-1
5000028,99001,99026,99027,-1,1010223,-1,1010213,1010233,1010213,-1,1010203,-1,1010203,-1,1010243,1010253,1010203,1010203,1010203,1010253,1010505,1010253
