6000001,1,1,신호등 교육,1500,12000,3,-1,6500001,1300015,9200004
6000002,1,2,골목길 순찰,2160,14000,5,4,6500002,1300015,9200006
6000003,1,3,불량학생 선도,2520,16000,3,-1,6500003,1300015,9200004
6000004,1,4,소매치기 훈계,3240,18000,5,3,6500004,1300015,9200006
6000005,1,5,신호위반 단속,3840,20000,5,2,6500005,1300015,9200006
6000006,2,1,쓰레기 정리,3600,18000,3,-1,6500006,1300017,9200004
6000007,2,2,폐공장 청소,4140,20000,2,5,6500007,1300017,9200003
6000008,2,3,공장 불끄기,3240,22000,2,1,6500008,1300017,9200003
6000009,2,4,잔당 처리,4860,24000,2,3,6500009,1300017,9200003
6000010,2,5,폭발물 제거,5520,26000,5,1,6500010,1300017,9200006
6000011,3,1,거름 옮기기,4800,24000,3,-1,6500011,1300004,9200004
6000012,3,2,잡초 솎아내기,5760,26000,2,1,6500012,1300004,9200003
6000013,3,3,새참 배달하기,6480,28000,2,4,6500013,1300004,9200003
6000014,3,4,점순이 밥주기,7200,30000,3,-1,6500014,1300004,9200004
6000015,3,5,모내기,8100,32000,5,1,6500015,1300004,9200006
6000016,4,1,명복 빌어주기,7500,30000,5,3,6500016,1300021,9200006
6000017,4,2,폐가 청소하기,6840,32000,5,2,6500017,1300021,9200006
6000018,4,3,부서진 건물 청소,9060,34000,4,3,6500018,1300021,9200005
6000019,4,4,자재 옮기기,9360,36000,2,2,6500019,1300021,9200003
6000020,4,5,재건축 현장 돕기,10560,38000,4,4,6500020,1300021,9200005
6000021,5,1,시든 꽃 치우기,8700,36000,3,-1,6500021,1300036,9200004
6000022,5,2,꽃집 정리하기,8100,38000,2,3,6500022,1300036,9200003
6000023,5,3,아이 달래기,8820,40000,3,-1,6500023,1300036,9200004
6000024,5,4,벌레 내쫓기,11280,42000,4,4,6500024,1300036,9200005
6000025,5,5,지하 정원 물주기,12780,44000,5,1,6500025,1300036,9200006
6000026,6,1,지갑 주인 찾아주기,10200,42000,3,-1,6500026,1300012,9200004
6000027,6,2,길 잃은 아이 찾기,7080,44000,2,1,6500027,1300012,9200003
6000028,6,3,CCTV 수색하기,10620,46000,2,4,6500028,1300012,9200003
6000029,6,4,위험 물자 수거하기,12600,48000,3,-1,6500029,1300012,9200004
6000030,6,5,펫숍 잠입수사,15420,50000,5,1,6500030,1300012,9200006
6000031,7,1,친구 고민 상담,12000,48000,5,3,6500031,1300001,9200006
6000032,7,2,불량배 경찰에 인계하기,8520,50000,5,2,6500032,1300001,9200006
6000033,7,3,안전귀가 도우미,12780,52000,4,3,6500033,1300001,9200005
6000034,7,4,화재 현장 정리하기,14940,54000,2,2,6500034,1300001,9200003
6000035,7,5,지하철 붕괴 현장 정리하기,18480,56000,4,4,6500035,1300001,9200005
6000036,8,1,시민 구조하기,18000,54000,3,-1,6500036,1300018,9200004
6000037,8,2,소방차 옮기기,12720,56000,2,5,6500037,1300018,9200003
6000038,8,3,역내 천장 보강하기,19080,58000,3,-1,6500038,1300018,9200004
6000039,8,4,남은 얼음 깨부수기,22500,60000,4,5,6500039,1300018,9200005
6000040,8,5,테러 폐기물 정리하기,27420,62000,5,1,6500040,1300018,9200006
6000041,9,1,테러현장 수습하기,27000,60000,3,-1,6500041,1300017,9200004
6000042,9,2,기자들의 현장진입 막기,19080,62000,2,1,6500042,1300017,9200003
6000043,9,3,폭발현장 정리하기,28620,64000,2,3,6500043,1300017,9200003
6000044,9,4,조직폭력배 단속하기,33660,66000,3,-1,6500044,1300017,9200004
6000045,9,5,특기제거가스 중화하기,41220,68000,5,0,6500045,1300017,9200006
