7900001,7000001,2,7000003
7900002,7000001,10,7000002
7900003,7000001,20,7000001
7900004,7000001,30,7000001
7900005,7000002,2,7000004
7900006,7000002,10,7000003
7900007,7000002,20,7000002
7900008,7000002,30,7000001
7900009,7000003,2,7000005
7900010,7000003,10,7000004
7900011,7000003,20,7000003
7900012,7000003,30,7000002
7900013,7000004,2,7000006
7900014,7000004,10,7000005
7900015,7000004,20,7000004
7900016,7000004,30,7000003
7900017,7000005,2,7000007
7900018,7000005,10,7000006
7900019,7000005,20,7000005
7900020,7000005,30,7000004
7900021,7000006,10,7000007
7900022,7000006,20,7000006
7900023,7000006,30,7000005
7900024,7000007,10,7000008
7900025,7000007,20,7000007
7900026,7000007,30,7000006
7900027,7000008,20,7000008
7900028,7000008,30,7000007
