1,1,방어형 - 강화,1.03,1.02,1.04,1.01,1.01,1.03,1.03,1.02,1.05
1,2,근접형 - 강화,1.02,1.04,1.02,1.05,1.03,1.03,1.01,1.01,1.03
1,3,마법형 - 강화,1.01,1.03,1.01,1.02,1.02,1.05,1.03,1.04,1.03
1,4,원거리 - 강화,1.01,1.05,1.02,1.02,1.04,1.03,1.01,1.03,1.03
1,5,지원형 - 강화,1.02,1.01,1.02,1.03,1.03,1.04,1.03,1.05,1.01
2,1,방어형 - 진화,1.08,1.07,1.09,1.06,1.06,1.08,1.08,1.07,1.1
2,2,근접형 - 진화,1.07,1.09,1.07,1.1,1.08,1.08,1.06,1.06,1.08
2,3,마법형 - 진화,1.06,1.08,1.06,1.07,1.07,1.1,1.08,1.09,1.08
2,4,원거리 - 진화,1.06,1.1,1.07,1.07,1.09,1.08,1.06,1.08,1.08
2,5,지원형 - 진화,1.07,1.06,1.07,1.08,1.08,1.09,1.08,1.1,1.06
3,1,방어형 - 각성,1.13,1.12,1.14,1.11,1.11,1.13,1.13,1.12,1.15
3,2,근접형 - 각성,1.12,1.14,1.12,1.15,1.13,1.13,1.11,1.11,1.13
3,3,마법형 - 각성,1.11,1.13,1.11,1.12,1.12,1.15,1.13,1.14,1.13
3,4,원거리 - 각성,1.11,1.15,1.12,1.12,1.14,1.13,1.11,1.13,1.13
3,5,지원형 - 각성,1.12,1.11,1.12,1.13,1.13,1.14,1.13,1.15,1.11
