1,0,0,-1,-1
1,1,5,1000,-1
1,2,10,1000,-1
1,3,15,1000,-1
2,0,15,100000,-1
2,1,25,5000,-1
2,2,35,5000,-1
2,3,45,5000,-1
2,4,55,5000,-1
3,0,55,200000,-1
3,1,85,20000,-1
3,2,115,20000,-1
3,3,145,20000,-1
3,4,175,20000,-1
3,5,205,20000,-1
4,0,205,600000,-1
4,1,325,100000,-1
4,2,445,100000,-1
4,3,565,100000,-1
4,4,685,100000,-1
4,5,805,100000,-1
4,6,925,100000,-1
5,0,925,5000000,-1
5,1,1525,1000000,-1
5,2,2125,1000000,-1
5,3,2725,1000000,-1
5,4,3325,1000000,-1
5,5,3925,1000000,-1
5,6,4525,1000000,-1
5,7,5125,1000000,-1
6,0,5125,5000000,-1
6,1,5725,1000000,-1
6,2,6325,1000000,-1
6,3,6925,1000000,-1
7,0,6925,5000000,-1
7,1,7525,1000000,-1
7,2,8125,1000000,-1
7,3,8725,1000000,-1
7,4,9325,1000000,-1
8,0,9325,5000000,-1
8,1,9925,1000000,-1
8,2,10525,1000000,-1
8,3,11125,1000000,-1
8,4,11725,1000000,-1
8,5,12325,1000000,-1
9,0,12325,5000000,-1
9,1,12925,1000000,-1
9,2,13525,1000000,-1
9,3,14125,1000000,-1
9,4,14725,1000000,-1
9,5,15325,1000000,-1
9,6,15925,1000000,-1
10,0,15925,5000000,-1
10,1,16525,1000000,-1
10,2,17125,1000000,-1
10,3,17725,1000000,-1
10,4,18325,1000000,-1
10,5,18925,1000000,-1
10,6,19525,1000000,-1
10,7,20125,1000000,-1
