7000001,1,1,1,5000001,0,진로를 결정했다.,6320,900,1100,150,7500001,250,500,8000001,1,-1,8000002,60,-1,8000003,1100,-1
7000002,1,2,1,5000002,7000001,여기 보통 콩가루가 아닌 것 같아,8127,1181,1381,192,7500002,263,641,8000001,1,-1,8000003,1000,-1,8000004,1200,-1
7000003,1,3,1,5000003,7000002,다사다난한 하루,8185,1192,1392,194,7500003,275,646,8000001,1,-1,8000004,1300,-1,8000005,-1,-1
7000004,1,4,1,5000004,7000003,터질까 봐?,9437,1388,1588,223,7500004,288,744,8000001,1,-1,8000005,-1,-1,8000006,-1,-1
7000005,1,5,1,5000005,7000004,은행 강도를 잡아라!,7585,1096,1296,179,7500005,300,598,8000001,1,-1,8000006,-1,-1,8000007,6585,-1
7000006,1,6,1,5000006,7000005,매를 부르는 힘,9421,1384,1584,223,7500006,313,742,8000001,1,-1,8000007,7802,-1,8000008,3,-1
7000007,1,7,1,5000007,7000006,불량학생 선도,8128,1184,1384,193,7500007,325,642,8000001,1,-1,8000008,3,-1,8000009,4,2
7000008,1,8,1,5000008,7000007,이런 악당은 싫어,9366,1376,1576,221,7500008,338,738,8000001,1,-1,8000009,3,3,8000010,4,-1
7000009,1,9,1,5000009,7000008,마이동풍,6903,989,1189,163,7500009,350,544,8000001,1,-1,8000010,2,-1,8000011,4,-1
7000010,1,10,1,5000010,7000009,결속을 다지다,8796,1425,1625,229,7500010,363,763,8000001,1,-1,8000011,2,-1,8000002,70,-1
7000011,2,1,1,5000011,7000010,잘못한 거 없겠지?,9920,1622,1822,258,7500011,399,861,8000001,1,-1,8000002,70,-1,8000003,1000,-1
7000012,2,2,1,5000012,7000011,흔들어 주세요,12255,2030,2230,320,7500012,416,1065,8000001,1,-1,8000003,900,-1,8000004,1500,-1
7000013,2,3,1,5000013,7000012,공장? 연구소?,12217,2024,2224,319,7500013,434,1062,8000001,1,-1,8000004,1600,-1,8000005,-1,-1
7000014,2,4,1,5000014,7000013,희생? 니가 당해 봐,11681,1929,2129,304,7500014,451,1014,8000001,1,-1,8000005,-1,-1,8000006,-1,-1
7000015,2,5,1,5000015,7000014,"역시, 베테랑!",9920,1623,1823,259,7500015,469,862,8000001,1,-1,8000006,-1,-1,8000007,8280,-1
7000016,2,6,1,5000016,7000015,와장창 쨍그랑,15488,2614,2814,407,7500016,486,1357,8000001,1,-1,8000007,13488,-1,8000008,2,-1
7000017,2,7,1,5000017,7000016,독 인간과 연구,11386,1882,2082,297,7500017,504,991,8000001,1,-1,8000008,2,-1,8000009,3,2
7000018,2,8,1,5000018,7000017,아가씨의 존재가 나한텐 수치야.,11631,1934,2134,305,7500018,521,1017,8000001,1,-1,8000009,1,2,8000010,5,-1
7000019,2,9,1,5000019,7000018,그런데 그것이 실제로 일어났습니다.,13104,2180,2380,342,7500019,539,1140,8000001,1,-1,8000010,3,-1,8000011,4,-1
7000020,2,10,1,5000020,7000019,우리 친해질 수 있을 것 같아,16074,2983,3183,462,7500020,556,1541,8000001,1,-1,8000011,3,-1,8000002,70,-1
7000021,3,1,1,5000021,7000020,천사가 아니야,13282,2421,2621,378,7500021,612,1260,8000001,1,-1,8000002,80,-1,8000003,1800,-1
7000022,3,2,1,5000022,7000021,타락 천사,14594,2676,2876,416,7500022,635,1388,8000001,1,-1,8000003,2000,-1,8000004,1800,-1
7000023,3,3,1,5000023,7000022,어리광쟁이♡,14678,2695,2895,419,7500023,657,1397,8000001,1,-1,8000004,1900,-1,8000005,-1,-1
7000024,3,4,1,5000024,7000023,시골 마을 파티에 보스몹,12515,2293,2493,359,7500024,680,1197,8000001,1,-1,8000005,-1,-1,8000006,-1,-1
7000025,3,5,1,5000025,7000024,위기의 순간에 사람은 늘 혼자다,16893,3124,3324,484,7500025,702,1612,8000001,1,-1,8000006,-1,-1,8000007,14893,-1
7000026,3,6,1,5000026,7000025,일이 터졌다.,13324,2436,2636,380,7500026,725,1268,8000001,1,-1,8000007,11007,-1,8000008,2,-1
7000027,3,7,1,5000027,7000026,"어, 이 인간이?",13747,2518,2718,393,7500027,747,1309,8000001,1,-1,8000008,2,-1,8000009,5,2
7000028,3,8,1,5000028,7000027,진정할 거 없이 차라리 때려!!!,17080,3167,3367,490,7500028,770,1634,8000001,1,-1,8000009,1,2,8000010,1,-1
7000029,3,9,1,5000029,7000028,솔직히 말이 안통하니 이길 자신이 없다,17693,3290,3490,509,7500029,792,1695,8000001,1,-1,8000010,4,-1,8000011,4,-1
7000030,3,10,1,5000030,7000029,가만히 있으면 중간이나 가지,23671,4852,5052,743,7500030,815,2476,8000001,1,-1,8000011,4,-1,8000002,80,-1
7000031,4,1,1,5000031,7000030,나이프로 갈둘 아랏떠,25640,5196,5396,794,7500031,896,2648,8000001,1,-1,8000002,80,-1,8000003,2000,-1
7000032,4,2,1,5000032,7000031,효과적인 교육법,26928,5471,5671,836,7500032,926,2786,8000001,1,-1,8000003,2200,-1,8000004,2100,-1
7000033,4,3,1,5000033,7000032,선배 말해보세요,24859,4945,5145,757,7500033,956,2522,8000001,1,-1,8000004,2200,-1,8000005,-1,-1
7000034,4,4,1,5000034,7000033,퇴마사 일 좋아요,26516,5281,5481,807,7500034,986,2690,8000001,1,-1,8000005,-1,-1,8000006,-1,-1
7000035,4,5,1,5000035,7000034,화재 진압,26135,5317,5517,813,7500035,1016,2709,8000001,1,-1,8000006,-1,-1,8000007,24135,-1
7000036,4,6,1,5000036,7000035,그 시각,25602,5225,5425,799,7500036,1046,2663,8000001,1,-1,8000007,23602,-1,8000008,2,-1
7000037,4,7,1,5000037,7000036,정정당당하게,24679,5104,5304,781,7500037,1076,2602,8000001,1,-1,8000008,2,-1,8000009,3,2
7000038,4,8,1,5000038,7000037,만났다,30988,6386,6586,973,7500038,1106,3243,8000001,1,-1,8000009,2,2,8000010,2,-1
7000039,4,9,1,5000039,7000038,허점,29478,6052,6252,923,7500039,1136,3076,8000001,1,-1,8000010,5,-1,8000011,4,-1
7000040,4,10,1,5000040,7000039,1호 나와 봐!,26121,5742,5942,876,7500040,1166,2921,8000001,1,-1,8000011,4,-1,8000002,80,-1
7000041,5,1,1,5000041,7000040,어?어?어?,37974,8319,8519,1263,7500041,1210,4210,8000001,1,-1,8000002,70,-1,8000003,2500,-1
