4000001,1,2,0,1,5001001,방어형,19473,7035,7235,1070,4500001
4000002,1,2,0,2,5001002,방어형,58711,8780,8980,1332,4500002
4000003,1,2,0,3,5001003,방어형,71085,7615,7815,1157,4500003
4000004,2,3,0,1,5001004,근접형,18735,8751,8951,1328,4500004
4000005,2,3,0,2,5001005,근접형,54319,6410,6610,976,4500005
4000006,2,3,0,3,5001006,근접형,75223,8202,8402,1245,4500006
4000007,3,4,0,1,5001007,마법형,19221,8491,8691,1289,4500007
4000008,3,4,0,2,5001008,마법형,52924,10611,10811,1607,4500008
4000009,3,4,0,3,5001009,마법형,78842,10484,10684,1588,4500009
4000010,4,5,0,1,5001010,원거리형,19018,9891,10091,1499,4500010
4000011,4,5,0,2,5001011,원거리형,52285,8480,8680,1287,4500011
4000012,4,5,0,3,5001012,원거리형,77442,12663,12863,1914,4500012
4000013,5,6,0,1,5001013,지원형,18838,9808,10008,1486,4500013
4000014,5,6,0,2,5001014,지원형,54351,9812,10012,1487,4500014
4000015,5,6,0,3,5001015,지원형,75056,11258,11458,1704,4500015
4000016,6,0,-1,1,5001016,골드러쉬,12780,0,0,0,4500016
4000017,6,0,-1,2,5001017,골드러쉬,51411,0,0,0,4500017
4000018,6,0,-1,3,5001018,골드러쉬,77683,0,0,0,4500018
