3000001,골드,99,2,0,9999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1130001,-1,9100001,0,0,-1,-1,-1,-1,,,
3000002,펄,99,3,0,9999999999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1130002,-1,9100002,0,0,-1,-1,-1,-1,,,
3000003,방어형 코인,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130003,-1,9100003,0,0,-1,-1,-1,-1,,,
3000004,근접형 코인,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130004,-1,9100004,0,0,-1,-1,-1,-1,,,
3000005,마법형 코인,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130005,-1,9100005,0,0,-1,-1,-1,-1,,,
3000006,원거리형 코인,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130006,-1,9100006,0,0,-1,-1,-1,-1,,,
3000007,지원형 코인,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130007,-1,9100007,0,0,-1,-1,-1,-1,,,
3000008,빠른 영웅 제조권,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130008,-1,9100008,0,0,-1,-1,-1,-1,,,
3000009,빠른 장비 제조권,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130009,-1,9100009,0,0,-1,-1,-1,-1,,,
3000010,우정의 증표,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130010,-1,9100010,0,0,-1,-1,-1,-1,,,
3000011,결투장 티켓,99,1,0,9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130011,-1,9100011,0,0,-1,-1,-1,-1,,,
3000012,에너지,99,1,0,9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130012,-1,9100012,0,0,-1,-1,-1,-1,,,
3000013,행동 마일리지,99,1,0,9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130013,-1,9100013,0,0,-1,-1,-1,-1,,,
3000014,명예 훈장,99,1,0,9999999999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1130000,-1,9100014,0,0,-1,-1,-1,-1,,,
3000015,요일던전 티켓,99,1,0,9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130014,-1,9100015,0,0,-1,-1,-1,-1,,,
3000016,레이드 티켓,99,1,0,9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130015,-1,9100016,0,0,-1,-1,-1,-1,,,
3100001,아이언마스크,10,0,0,1,1,11,0,1,1,1,2,12,0,0,0,0,0,0,1131001,-1,9100029,1,1667,-1,-1,-1,54,,,
3100002,전경헬멧,11,0,0,1,1,11,0,1,1,1,2,16,0,0,0,0,0,0,1131002,-1,9100030,1,500,-1,-1,-1,18,,,
3100003,풋볼헬멧,12,0,0,1,1,11,0,1,1,1,2,20,0,0,0,0,0,0,1131003,-1,9100031,1,100,-1,-1,-1,6,,,
3100004,안전모,13,0,0,1,1,11,0,1,1,1,2,24,0,0,0,0,0,0,1131004,-1,9100032,1,33,-1,-1,-1,2,,,
3100005,자전거헬멧,14,0,0,1,1,11,0,1,1,1,2,28,0,0,0,0,0,0,1131005,-1,9100033,1,17,-1,-1,-1,1,,,
3100006,스마트 글래스,10,0,0,1,1,11,0,2,1,1,2,12,0,0,0,0,0,0,1131026,-1,9100034,1,1667,-1,-1,-1,54,,,
3100007,군용파이바,11,0,0,1,1,11,0,2,1,1,2,16,0,0,0,0,0,0,1131027,-1,9100035,1,500,-1,-1,-1,18,,,
