8400001,8000035,1,1,-1,3000001,10000
8400002,8000013,1,1,7000003,3000002,50
8400003,8000017,1,1,-1,3000001,100000
8400004,8000050,1,1,-1,3000008,1
8400005,8000051,1,1,-1,3000002,20
8400006,8000029,1,5,-1,3000002,50
8400007,8000016,1,1,-1,3100004,1
8400008,8000036,1,1,-1,3000001,100000
8400009,8000037,1,3,-1,3700001,1
8400010,8000032,1,1,-1,3000009,1
8400011,8000040,1,5,-1,3700010,1
8400012,8000026,1,1,-1,3000006,300
8400013,8000013,1,1,7000010,3000002,100
8400014,8000032,1,3,-1,3000009,2
8400015,8000017,1,2,-1,3000001,200000
8400016,8000036,1,5,-1,3000001,300000
8400017,8000031,1,2,-1,3000009,1
8400018,8000029,1,5,-1,3000002,50
8400019,8000045,1,100000,-1,3000002,100
8400020,8000014,1,5,-1,3000013,20
8400021,8000032,1,5,-1,3000009,3
8400022,8000018,1,1,3,3000002,20
8400023,8000019,1,20,-1,3000001,300000
8400024,8000020,1,1,4,3000002,100
8400025,8000036,1,10,-1,3000001,500000
8400026,8000013,1,1,7000020,3000002,300
8400027,8000016,1,10,-1,3100003,1
8400028,8000017,1,3,-1,3000001,300000
8400029,8000040,1,10,-1,3700011,1
8400030,8000026,1,5,-1,3000006,500
8400031,8000014,1,10,-1,3000013,50
8400032,8000017,1,5,-1,3000001,500000
8400033,8000035,1,3,-1,3000001,50000
8400034,8000031,1,3,-1,3000009,2
8400035,8000029,1,5,-1,3000002,50
8400036,8000013,1,1,7000030,3000002,500
8400037,8000045,1,500000,-1,3000002,300
8400038,8000014,1,10,-1,3000013,50
8400039,8000032,1,10,-1,3000009,5
8400040,8000018,1,1,2,3000002,100
8400041,8000019,1,50,-1,3000001,600000
8400042,8000020,1,2,3,3000002,200
8400043,8000036,1,20,-1,3000001,1000000
8400044,8000037,1,5,-1,3700001,3
8400045,8000013,1,1,7000040,3000002,500
8400046,8000016,1,10,-1,3100002,1
8400047,8000017,1,5,1,3000001,600000
8400048,8000040,1,20,-1,3700011,3
8400049,8000026,1,5,-1,3000006,500
8400050,8000031,1,10,-1,3000009,3
8400051,8000017,1,5,-1,3000001,800000
8400052,8000035,1,3,-1,3000001,50000
8400053,8000031,1,15,-1,3000009,5
8400054,8000029,1,10,-1,3000002,100
8400055,8000045,1,1000000,-1,3000002,500
8400056,8000014,1,50,-1,3000013,150
8400057,8000032,1,20,-1,3000009,10
8400058,8000018,1,1,1,3000002,300
8400059,8000019,1,100,-1,3000001,900000
8400060,8000020,1,2,2,3000002,300
8400061,8000036,1,30,-1,3000001,1500000
8400062,8000037,1,20,-1,3700001,5
8400063,8000013,1,1,7000060,3000002,1000
8400064,8000016,1,20,-1,3100001,1
8400065,8000017,1,10,1,3000001,1000000
8400066,8000040,1,25,-1,3700012,1
8400067,8000026,1,10,-1,3000006,1000
8400068,8000029,1,20,-1,3000002,200
8400069,8000035,1,5,-1,3000001,100000
8400070,8000017,1,15,-1,3000001,1500000
8400071,8000031,1,50,-1,3000011,10
8400072,8000029,1,30,-1,3000008,10
8400073,8000045,1,3000000,-1,3000002,700
8400074,8000014,1,100,-1,3000013,200
8400075,8000032,1,50,-1,3000009,25
8400076,8000018,1,3,4,3000002,500
8400077,8000019,1,200,-1,3000001,1000000
8400078,8000020,1,1,4,3000002,500
8400079,8000036,1,50,-1,3000001,2000000
8400080,8000037,1,30,-1,3700001,10
8400081,8000013,1,1,7000075,3000002,1000
8400082,8000016,1,30,-1,3100006,1
8400083,8000017,1,30,1,3000001,2000000
8400084,8000035,1,10,-1,3000001,500000
8400085,8000013,1,1,7000080,3000002,1500
8400086,8000026,1,30,-1,3000005,1000
8400087,8000040,1,50,-1,3700012,10
8400088,8000013,1,1,7000085,3000002,2000
8400089,8000017,1,50,-1,3000001,2500000
8400090,8000013,1,1,7000090,3000002,2500
