4000001,1,1,0,0,0,0,0
4000002,1,2,0,0,0,0,0
4000003,1,3,3000001,1000,604800,3000002,300
4000004,1,4,3000001,2000,604800,3000002,350
4000005,1,5,3000001,3000,604800,3000002,400
4000006,1,6,3000001,4000,604800,3000002,450
4000007,1,7,3000001,5000,604800,3000002,500
4000008,1,8,3000001,6000,604800,3000002,550
4000009,1,9,3000001,7000,604800,3000002,600
4000010,1,10,3000001,8000,604800,3000002,650
4000011,1,11,-1,-1,-1,-1,-1
4000012,2,1,0,0,0,0,0
4000013,2,2,0,0,0,0,0
4000014,2,3,3000001,1000,604800,3000002,300
4000015,2,4,3000001,2000,604800,3000002,350
4000016,2,5,3000001,3000,604800,3000002,400
4000017,2,6,3000001,4000,604800,3000002,450
4000018,2,7,3000001,5000,604800,3000002,500
4000019,2,8,3000001,6000,604800,3000002,550
4000020,2,9,3000001,7000,604800,3000002,600
4000021,2,10,3000001,8000,604800,3000002,650
4000022,2,11,-1,-1,-1,-1,-1
4000023,3,1,0,0,0,0,0
4000024,3,2,0,0,0,0,0
4000025,3,3,3000001,1000,604800,3000002,300
4000026,3,4,3000001,2000,604800,3000002,350
4000027,3,5,3000001,3000,604800,3000002,400
4000028,3,6,3000001,4000,604800,3000002,450
4000029,3,7,3000001,5000,604800,3000002,500
4000030,3,8,3000001,6000,604800,3000002,550
4000031,3,9,3000001,7000,604800,3000002,600
4000032,3,10,3000001,8000,604800,3000002,650
4000033,3,11,-1,-1,-1,-1,-1
