7500001,3100005,1,0.3,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7500002,3100005,1,0.3,0.7,3100004,1,0.1,0.9,-1,-1,-1,-1,-1,-1,-1,-1
7500003,3100005,1,0.3,0.7,3100004,1,0.1,0.9,3100003,1,0.01,0.99,-1,-1,-1,-1
7500004,3100005,1,0.3,0.7,3100004,1,0.1,0.9,3100003,1,0.01,0.99,3100002,1,0.005,0.995
7500005,3100010,1,0.3,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7500006,3100010,1,0.3,0.7,3100009,1,0.1,0.9,-1,-1,-1,-1,-1,-1,-1,-1
7500007,3100010,1,0.3,0.7,3100009,1,0.1,0.9,3100008,1,0.01,0.99,-1,-1,-1,-1
7500008,3100010,1,0.3,0.7,3100009,1,0.1,0.9,3100008,1,0.01,0.99,3100007,1,0.005,0.995
7500009,3100015,1,0.3,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7500010,3100015,1,0.3,0.7,3100014,1,0.1,0.9,-1,-1,-1,-1,-1,-1,-1,-1
7500011,3100015,1,0.3,0.7,3100014,1,0.1,0.9,3100013,1,0.01,0.99,-1,-1,-1,-1
7500012,3100015,1,0.3,0.7,3100014,1,0.1,0.9,3100013,1,0.01,0.99,3100012,1,0.005,0.995
7500013,3100020,1,0.3,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7500014,3100020,1,0.3,0.7,3100019,1,0.1,0.9,-1,-1,-1,-1,-1,-1,-1,-1
7500015,3100020,1,0.3,0.7,3100019,1,0.1,0.9,3100018,1,0.01,0.99,-1,-1,-1,-1
7500016,3100020,1,0.3,0.7,3100019,1,0.1,0.9,3100018,1,0.01,0.99,3100017,1,0.005,0.995
7500017,3100025,1,0.3,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7500018,3100025,1,0.3,0.7,3100024,1,0.1,0.9,-1,-1,-1,-1,-1,-1,-1,-1
7500019,3100025,1,0.3,0.7,3100024,1,0.1,0.9,3100023,1,0.01,0.99,-1,-1,-1,-1
