7400001,1,1,이런 영웅은 싫어,9310001,4,3000003,200,3500004,1,3000002,100,1300001
7400002,1,2,이런 영웅은 싫어(어려움),9310001,6,3000006,389,3500003,1,3000002,150,1300001
7400003,1,3,이런 영웅은 싫어(매우 어려움),9310001,8,3000004,759,3500002,1,3000002,200,1300001
7400004,2,1,친해질 수 있을까,9310002,4,3000004,220,3500009,1,3000002,200,1300043
7400005,2,2,친해질 수 있을까(어려움),9310002,6,3000007,428,3500008,1,3000002,300,1300043
7400006,2,3,친해질 수 있을까(매우 어려움),9310002,8,3000005,835,3500007,1,3000002,400,1300043
7400007,3,1,차라리 때려!,9310003,4,3000005,242,3500019,1,3000002,300,1300006
7400008,3,2,차라리 때려!(어려움),9310003,6,3000003,471,3500018,1,3000002,450,1300006
7400009,3,3,차라리 때려!(매우 어려움),9310003,8,3000006,919,3500017,1,3000002,600,1300006
7400010,4,1,이런 악당도 싫어,9310004,4,3000003,266,3500024,1,3000002,350,1300033
7400011,4,2,이런 악당도 싫어(어려움),9310004,6,3000006,518,3500023,1,3000002,525,1300033
7400012,4,3,이런 악당도 싫어(매우 어려움),9310004,8,3000004,1011,3500022,1,3000002,700,1300033
7400013,5,1,꽃집에 무슨일이?,9310005,4,3000003,293,3000009,5,3000002,400,1300036
7400014,5,2,꽃집에 무슨일이?(어려움),9310005,6,3000006,570,3000009,10,3000002,600,1300036
7400015,5,3,꽃집에 무슨일이?(매우 어려움),9310005,8,3000004,1112,3000009,20,3000002,800,1300036
7400016,6,1,가장 비싼 애완동물,9310006,4,3000003,322,3000010,400,3000002,450,1300012
7400017,6,2,가장 비싼 애완동물(어려움),9310006,6,3000006,627,3000010,800,3000002,675,1300012
7400018,6,3,가장 비싼 애완동물(매우 어려움),9310006,8,3000004,1223,3000010,1200,3000002,900,1300012
7400019,7,1,좋아하는 사람이 생겼어,9310007,4,3000003,354,3000002,300,3000002,500,1300034
7400020,7,2,좋아하는 사람이 생겼어(어려움),9310007,6,3000006,690,3000002,500,3000002,750,1300034
7400021,7,3,좋아하는 사람이 생겼어(매우 어려움),9310007,8,3000004,1345,3000002,700,3000002,1000,1300034
7400022,8,1,단 둘이 있고 싶어서,9310008,4,3000003,500,3000002,500,3000002,750,1300035
7400023,8,2,단 둘이 있고 싶어서(어려움),9310008,6,3000006,759,3000002,750,3000002,1125,1300035
7400024,8,3,단 둘이 있고 싶어서(매우 어려움),9310008,8,3000004,1480,3000002,1000,3000002,1500,1300035
7400025,9,1,히어로의 자질,9310009,4,3000003,550,3000002,750,3000002,1000,1300032
7400026,9,2,히어로의 자질(어려움),9310009,6,3000006,835,3000002,1125,3000002,1500,1300032
7400027,9,3,히어로의 자질(매우 어려움),9310009,8,3000004,1628,3000002,1500,3000002,2000,1300032
