1,500,782,4400001,0.001,4400002,0.01,4400003,0.1,4400004,0.3,4400005,0.589
1,783,1143,4400001,0.0008,4400002,0.008,4400003,0.08,4400004,0.24,4400005,0.6712
1,1144,1449,4400001,0.0012,4400002,0.011,4400003,0.11,4400004,0.8778,4400005,0
1,1450,1937,4400001,0.00255,4400002,0.0255,4400003,0.255,4400004,0.71695,4400005,0
1,1938,2469,4400001,0.002,4400002,0.02,4400003,0.2,4400004,0.6,4400005,0.178
1,2470,3110,4400001,0.0014,4400002,0.014,4400003,0.14,4400004,0.42,4400005,0.4246
1,3111,3171,4400001,0.0026,4400002,0.026,4400003,0.9714,4400004,0,4400005,0
1,3172,3459,4400001,0.003,4400002,0.03,4400003,0.3,4400004,0.667,4400005,0
1,3460,3987,4400001,0.0036,4400002,0.036,4400003,0.36,4400004,0.6004,4400005,0
1,3988,4524,4400001,0.004,4400002,0.04,4400003,0.4,4400004,0.556,4400005,0
1,4525,4567,4400001,0.05,4400002,0.6,4400003,0.35,4400004,0,4400005,0
1,4568,4893,4400001,0.0043,4400002,0.043,4400003,0.43,4400004,0.5227,4400005,0
1,4894,5000,4400001,0.005,4400002,0.05,4400003,0.5,4400004,0.445,4400005,0
2,500,644,4400006,0.042,4400007,0.14,4400008,0.175,4400009,0.42,4400010,0.223
2,645,982,4400006,0.03,4400007,0.1,4400008,0.125,4400009,0.31,4400010,0.435
2,983,1066,4400006,0.0315,4400007,0.105,4400008,0.131,4400009,0.7325,4400010,0
2,1067,1563,4400006,0.024,4400007,0.08,4400008,0.1,4400009,0.25,4400010,0.546
2,1564,2018,4400006,0.077,4400007,0.255,4400008,0.32,4400009,0.348,4400010,0
2,2019,2562,4400006,0.06,4400007,0.2,4400008,0.25,4400009,0.49,4400010,0
2,2563,3211,4400006,0.078,4400007,0.26,4400008,0.662,4400009,0,4400010,0
2,3212,3259,4400006,0.129,4400007,0.43,4400008,0.441,4400009,0,4400010,0
2,3260,3653,4400006,0.108,4400007,0.36,4400008,0.45,4400009,0.082,4400010,0
2,3654,4167,4400006,0.12,4400007,0.4,4400008,0.48,4400009,0,4400010,0
2,4168,4742,4400006,0.09,4400007,0.3,4400008,0.37,4400009,0.24,4400010,0
2,4743,4783,4400006,0.135,4400007,0.265,4400008,0.6,4400009,0,4400010,0
2,4784,5000,4400006,0.15,4400007,0.5,4400008,0.35,4400009,0,4400010,0
3,500,849,4400011,0.024,4400012,0.08,4400013,0.1,4400014,0.25,4400015,0.546
3,850,1377,4400011,0.06,4400012,0.2,4400013,0.25,4400014,0.49,4400015,0
3,1378,1849,4400011,0.0315,4400012,0.105,4400013,0.131,4400014,0.7325,4400015,0
3,1850,2402,4400011,0.042,4400012,0.14,4400013,0.175,4400014,0.42,4400015,0.223
3,2403,2913,4400011,0.03,4400012,0.1,4400013,0.125,4400014,0.31,4400015,0.435
3,2914,2962,4400011,0.077,4400012,0.255,4400013,0.32,4400014,0.348,4400015,0
3,2963,3463,4400011,0.078,4400012,0.26,4400013,0.662,4400014,0,4400015,0
3,3464,3489,4400011,0.15,4400012,0.5,4400013,0.35,4400014,0,4400015,0
3,3490,3902,4400011,0.12,4400012,0.4,4400013,0.48,4400014,0,4400015,0
3,3903,4337,4400011,0.108,4400012,0.36,4400013,0.45,4400014,0.082,4400015,0
3,4338,4671,4400011,0.129,4400012,0.43,4400013,0.441,4400014,0,4400015,0
3,4672,4790,4400011,0.135,4400012,0.265,4400013,0.6,4400014,0,4400015,0
3,4791,5000,4400011,0.09,4400012,0.3,4400013,0.37,4400014,0.24,4400015,0
