5000001,1,5100001,0,무료 영웅 골드 뽑기,86400,0,0,0,0,5500001,1,0,0,5000001,9400002,1
5000002,1,5100001,1,1회 영웅 골드 뽑기,0,3000001,7500,0,7500,5500002,1,0,0,5000001,9400002,1
5000003,1,5100001,2,10회 영웅 골드 뽑기,0,3000001,67500,0,67500,5500002,10,0,0,5000001,9400002,1
5000004,1,5100002,1,1회 영웅 캐쉬 뽑기,0,3000002,100,0,100,5500003,1,0,0,5000002,9400003,3
5000005,1,5100002,2,10회 영웅 캐쉬 뽑기,0,3000002,900,0,900,5500003,9,5500004,1,5000002,9400003,3
5000006,2,5100003,0,무료 장비 골드 뽑기,86400,0,0,0,0,5500005,1,0,0,5000003,9400004,1
5000007,2,5100003,1,1회 장비 골드 뽑기,0,3000001,1500,0,1500,5500006,1,0,0,5000003,9400004,1
5000008,2,5100003,2,10회 장비 골드 뽑기,0,3000001,13500,0,13500,5500006,10,0,0,5000003,9400004,1
5000009,2,5100004,1,1회 장비 캐쉬 뽑기,0,3000002,20,0,20,5500007,1,0,0,5000004,9400005,3
5000010,2,5100004,2,10회 장비 캐쉬 뽑기,0,3000002,180,0,180,5500007,9,5500008,1,5000004,9400005,3
5000011,3,5100005,0,무료 가구 골드 뽑기,86400,0,0,0,0,5500009,1,0,0,5000005,9400006,1
5000012,3,5100005,1,1회 가구 골드 뽑기,0,3000010,40,0,40,5500010,1,0,0,5000005,9400006,1
5000013,3,5100005,2,10회 가구 골드 뽑기,0,3000010,400,0,400,5500010,10,0,0,5000005,9400006,1
5000014,3,5100006,1,1회 가구 캐쉬 뽑기,0,3000002,20,0,20,5500011,1,0,0,5000006,9400007,3
5000015,3,5100006,2,10회 가구 캐쉬 뽑기,0,3000002,180,0,180,5500011,9,5500012,1,5000006,9400007,3
