1200001,추우면 추어탕!,2,2턴간 적군 전체의 공격력 10% 감소,0,54,-1,-1,-1,-1,-1,-1,-1,-1,20,45,5,120,1,-1,1,0,-1
1200002,말 조심해,2,적군 전체에게 일반공격 1회,0,99,1,55,-1,-1,-1,-1,-1,-1,20,45,8,120,2,20002,1,0,-1
1200003,졸리니까 빨리 끝내자…,2,"적군 전체에게 데미지 120%의 일반 공격 1회, 1턴간 본인의 방어력 10% 증가",0,99,1,56,1,57,-1,-1,-1,-1,50,45,15,120,2,20003,1,0,-1
1200004,입 다물어!,1,적군 한 명에게 데미지 120%의 공격 1회,0,58,-1,-1,-1,-1,-1,-1,-1,-1,20,45,8,120,1,-1,1,0,-1
1200005,이 정도는 가뿐하지,1,적군 한 명에게 데미지 80%의 공격 2회,0,184,1,184,-1,-1,-1,-1,-1,-1,30,60,8,120,2,-1,1,0,-1
1200006,쪼개라!,2,"적군 한 명에게 데미지 140%의 공격 1회, 1턴간 아군 전체 집중력 20% 증가",0,98,1,59,1,60,-1,-1,-1,-1,20,45,8,120,2,20006,1,0,-1
1200007,실례,1,적군 한 명에게 데미지 30%의 공격 5회,0,144,-1,-1,-1,-1,-1,-1,-1,-1,20,45,8,120,5,-1,1,0,-1
1200008,줄줄 녹아버릴걸?,2,적군 한 명에게 데미지 120%의 공격 1회,0,98,1,58,-1,-1,-1,-1,-1,-1,40,60,15,120,2,20008,1,0,-1
1200009,The 저주,2,1턴간 적군 한 명에게 랜덤 상태이상 부여,0,98,0,62,-1,-1,-1,-1,-1,-1,30,45,8,120,1,20009,1,0,-1
1200010,별빛처럼 눈부신 이 몸!,2,1턴간 적군 한 명에게 수면 상태이상 부여,0,63,-1,-1,-1,-1,-1,-1,-1,-1,30,45,8,120,1,-1,1,0,-1
1200011,뎌격함니다,2,적군 한 명에게 데미지 200%의 공격 1회,0,98,1,64,-1,-1,-1,-1,-1,-1,25,45,8,120,2,20011,1,0,-1
1200012,디원사격,2,적군 한 명에게 데미지 15%의 공격 10회,0,10,-1,-1,-1,-1,-1,-1,-1,-1,30,45,8,120,10,-1,1,0,-1
1200013,됴시매요!,2,적군 한 명에게 데미지 60%의 공격 2회,0,65,-1,-1,-1,-1,-1,-1,-1,-1,20,45,8,120,2,-1,1,0,-1
1200014,감히 누굴 건드려,2,2턴간 본인의 어그로 수치 2배,0,11,-1,-1,-1,-1,-1,-1,-1,-1,20,45,8,120,1,-1,1,0,-1
