2200001,"신입 매니저
패키지",9600001,-1,3700009,1,-1,3000001,500000,-1,3700008,3,-1,3000003,100,-1,3000004,100,-1,3000005,100,-1,3000006,100,-1,3000007,100,-1,3000008,3,-1,-1,-1
2200002,"N년차 매니저
패키지",9600002,-1,3700005,1,-1,3000001,1000000,-1,3700008,5,-1,3000003,500,-1,3000004,500,-1,3000005,500,-1,3000006,500,-1,3000007,500,-1,3000008,5,-1,-1,-1
2200003,"베테랑 매니저
패키지",9600003,-1,3700006,1,-1,3000001,3000000,-1,3700009,10,-1,3000003,1000,-1,3000004,1000,-1,3000005,1000,-1,3000006,1000,-1,3000007,1000,-1,3000008,10,-1,-1,-1
2200004,펄 1+1 - 브론즈,9600004,-1,3000002,100,-1,3000002,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200005,펄 1+1 - 실버,9600005,-1,3000002,500,-1,3000002,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200006,펄 1+1 - 골드,9600006,-1,3000002,1000,-1,3000002,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200007,펄 1+1 - 플래티넘,9600007,-1,3000002,5000,-1,3000002,5000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200008,월정액 - 골드,9600008,-1,3700013,1,-1,3700011,1,-1,3700014,1,-1,3700011,1,-1,3700015,1,-1,3000001,200000,-1,3000002,250,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200009,월정액 - 실버,9600009,-1,3000003,300,-1,3000004,300,-1,3000005,300,-1,3000006,300,-1,3000007,300,-1,3000008,3,-1,3000001,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200010,레벨업 - 초급,9600010,10,3000001,100000,15,1020001,5,20,3000001,200000,25,3000002,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200011,레벨업 - 중급,9600011,30,1020002,7,35,3000001,250000,40,3700011,3,45,3000002,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200012,레벨업 - 고급,9600012,50,3000012,300,55,1020003,4,60,3000002,800,65,3700009,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200016,"물보라의
특기 수련 패키지",9600029,-1,3700012,10,-1,3000001,1000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2200017,"물보라의
특기 조절 패키지",9600030,-1,3700012,10,-1,3000001,5000000,-1,1020003,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
