8500001,0,1,9,3000002,100
8500002,1,1,9,3000002,900
8500101,2,1,10,3000002,100
8500102,2,2,10,3000002,300
8500103,2,3,10,3000002,500
8500104,2,4,10,3000002,700
8500105,2,5,10,3000002,1000
8500106,2,6,10,3000002,1500
8500107,2,7,10,3000002,2000
8500108,2,8,10,3000002,3000
8500109,2,9,10,3000002,4000
8500110,2,10,10,3000002,5000
8500111,2,11,10,3000002,6000
8500112,2,12,10,3000002,7000
8500113,2,13,10,3000002,8000
8500114,2,14,10,3000002,9000
8500115,2,15,10,3000002,10000
8500116,2,16,10,3000002,11000
8500201,3,1,10,3000002,100
8500202,3,2,10,3000002,300
8500203,3,3,10,3000002,500
8500204,3,4,10,3000002,700
8500205,3,5,10,3000002,1000
8500206,3,6,10,3000002,1500
8500207,3,7,10,3000002,3000
8500208,3,8,10,3100002,5000
8500209,3,9,10,3100002,7000
