5000001,5100001,1,첫번째,몰라몰라,몰라몰라,몰라몰라,3400024,3400008,3500005,3500020,1000011,20
5000002,5100001,2,두번째,몰라몰라,몰라몰라,몰라몰라,3500020,-1,-1,-1,1000025,40
5000003,5100001,3,세번쨰,몰라몰라,몰라몰라,몰라몰라,3400008,3500005,-1,-1,1000039,60
5000004,5100001,4,네번쨰,몰라몰라,몰라몰라,몰라몰라,3400024,3500020,-1,-1,1000011,80
5000005,5100001,5,다섯번째,몰라몰라,몰라몰라,몰라몰라,3500020,3500020,-1,-1,1000025,100
5000006,5100001,6,여섯번째,몰라몰라,몰라몰라,몰라몰라,3500020,-1,-1,-1,1000039,120
5000007,5100001,7,일곱번째,몰라몰라,몰라몰라,몰라몰라,3400008,-1,-1,-1,1000011,140
5000008,5100001,8,여덟번째,몰라몰라,몰라몰라,몰라몰라,1000025,-1,-1,-1,1000025,160
5000009,5100001,9,아홉번째,몰라몰라,몰라몰라,몰라몰라,3500005,-1,-1,-1,1000039,180
5000010,5100001,10,열번째,몰라몰라,몰라몰라,몰라몰라,1000011,-1,-1,-1,1000048,200
5001001,5101001,1,어려운첫번째,몰라몰라,몰라몰라,몰라몰라,3400024,3400008,3500005,3500020,1000011,20
5001002,5101001,2,어려운두번째,몰라몰라,몰라몰라,몰라몰라,3500020,-1,-1,-1,1000025,40
5001003,5101001,3,어려운세번쨰,몰라몰라,몰라몰라,몰라몰라,3400008,3500005,-1,-1,1000039,60
5001004,5101001,4,어려운네번쨰,몰라몰라,몰라몰라,몰라몰라,3400024,3500020,-1,-1,1000011,80
5001005,5101001,5,어려운다섯번째,몰라몰라,몰라몰라,몰라몰라,3500020,3500020,-1,-1,1000025,100
5001006,5101001,6,어려운여섯번째,몰라몰라,몰라몰라,몰라몰라,3500020,-1,-1,-1,1000039,120
5001007,5101001,7,어려운일곱번째,몰라몰라,몰라몰라,몰라몰라,3400008,-1,-1,-1,1000011,140
5001008,5101001,8,어려운여덟번째,몰라몰라,몰라몰라,몰라몰라,1000025,-1,-1,-1,1000025,160
5001009,5101001,9,어려운아홉번째,몰라몰라,몰라몰라,몰라몰라,3500005,-1,-1,-1,1000039,180
5001010,5101001,10,어려운열번째,몰라몰라,몰라몰라,몰라몰라,1000011,-1,-1,-1,1000048,200
5002001,5102001,1,매우어려운첫번째,몰라몰라,몰라몰라,몰라몰라,3400024,3400008,3500005,3500020,1000011,20
